Objects
100
,,Global Angle cup:cup,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
85,0,0.003572,-0.004478,-0.002706,-68.416290,9.151434,480.160004
86,0,0.003776,-0.004482,-0.002965,-68.410439,9.150007,480.160095
87,0,0.003625,-0.004474,-0.002676,-68.411293,9.147256,480.158569
88,0,0.003694,-0.004471,-0.002802,-68.415871,9.150145,480.164093
89,0,0.003546,-0.004416,-0.002973,-68.413765,9.151200,480.160278
90,0,0.003721,-0.004484,-0.002823,-68.409004,9.151020,480.158325
91,0,0.003619,-0.004505,-0.002948,-68.404922,9.146922,480.159698
92,0,0.003635,-0.004350,-0.003097,-68.411476,9.146656,480.166626
93,0,0.003554,-0.004642,-0.002981,-68.404724,9.141454,480.165527
94,0,0.003717,-0.004536,-0.003069,-68.412704,9.152337,480.159912
95,0,0.003497,-0.004456,-0.002865,-68.421524,9.141593,480.154327
96,0,0.003692,-0.004503,-0.002999,-68.420288,9.141657,480.155640
97,0,0.003783,-0.004478,-0.003108,-68.416931,9.136497,480.156769
98,0,0.003671,-0.004511,-0.003151,-68.422623,9.149698,480.171295
99,0,0.003521,-0.004516,-0.002850,-68.413879,9.148292,480.169830
100,0,0.003593,-0.004345,-0.002977,-68.421448,9.150161,480.161713
101,0,0.003666,-0.004514,-0.002955,-68.413017,9.144793,480.157501
102,0,0.003669,-0.004551,-0.003029,-68.408173,9.151228,480.168671
103,0,0.003629,-0.004489,-0.003133,-68.421509,9.152201,480.177124
104,0,0.003634,-0.004610,-0.002985,-68.412704,9.144599,480.170502
105,0,0.003706,-0.004468,-0.003069,-68.416954,9.130227,480.160614
106,0,0.003709,-0.004493,-0.003196,-68.411537,9.131562,480.164764
107,0,0.003734,-0.004586,-0.002968,-68.418343,9.151883,480.164642
108,0,0.003749,-0.004580,-0.003011,-68.411880,9.165643,480.160065
109,0,0.003635,-0.004385,-0.002752,-68.412247,9.142826,480.159454
110,0,0.003700,-0.004550,-0.002828,-68.404709,9.145693,480.162811
111,0,0.003735,-0.004395,-0.003016,-68.413048,9.153729,480.161896
112,0,0.003643,-0.004434,-0.002867,-68.417145,9.162964,480.165741
